metropolitan_area_name,efficiency,one_bedroom,two_bedroom,three_bedroom,four_bedroom,fmr_percentile,unnamed:_7,year
"Press Below to select a different State:Or select a Final FY 2025 Metropolitan FMR Area  Abilene, TX MSA  Acadia Parish, LA HUD Metro FMR Area  Aguadilla-Isabela, PR MSA  Akron, OH MSA  Albany, GA MSA  Albany, OR MSA  Albany-Schenectady-Troy, NY MSA  Albuquerque, NM MSA  Alexandria, LA MSA  Allen County, KY HUD Metro FMR Area  Allentown-Bethlehem-Easton, PA HUD Metro FMR Area  Altoona, PA MSA  Amarillo, TX HUD Metro FMR Area  Ames, IA HUD Metro FMR Area  Anchorage, AK HUD Metro FMR Area  Anderson, IN HUD Metro FMR Area  Anderson, SC HUD Metro FMR Area  Ann Arbor, MI MSA  Anniston-Oxford-Jacksonville, AL MSA  Anson County, NC HUD Metro FMR Area  Appleton, WI MSA  Arecibo, PR MSA  Armstrong County, PA HUD Metro FMR Area  Asheville, NC HUD Metro FMR Area  Assumption Parish, LA HUD Metro FMR Area  Atascosa County, TX HUD Metro FMR Area  Athens-Clarke County, GA MSA  Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area  Atlantic City-Hammonton, NJ MSA  Auburn-Opelika, AL MSA  Augusta-Richmond County, GA-SC HUD Metro FMR Area  Austin County, TX HUD Metro FMR Area  Austin-Round Rock, TX MSA  Baker County, FL HUD Metro FMR Area  Bakersfield, CA MSA  Baltimore-Columbia-Towson, MD MSA  Bangor, ME HUD Metro FMR Area  Barnstable Town, MA MSA  Barranquitas-Aibonito, PR HUD Metro FMR Area  Bates County, MO HUD Metro FMR Area  Baton Rouge, LA HUD Metro FMR Area  Battle Creek, MI MSA  Bay City, MI MSA  Beaufort County, SC HUD Metro FMR Area  Beaumont-Port Arthur, TX MSA  Bellingham, WA MSA  Bend-Redmond, OR MSA  Benton County, IA HUD Metro FMR Area  Bergen-Passaic, NJ HUD Metro FMR Area  Berkshire County, MA (part) HUD Metro FMR Area  Billings, MT HUD Metro FMR Area  Binghamton, NY MSA  Birmingham-Hoover, AL HUD Metro FMR Area  Bismarck, ND MSA  Blacksburg-Christiansburg-Radford, VA HUD Metro FMR Area  Bloomington, IL MSA  Bloomington, IN HUD Metro FMR Area  Boise City, ID HUD Metro FMR Area  Bond County, IL HUD Metro FMR Area  Boone County, IA HUD Metro FMR Area  Boone County, WV HUD Metro FMR Area  Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area  Boulder, CO MSA  Bowling Green, KY HUD Metro FMR Area  Box Elder County, UT HUD Metro FMR Area  Brazoria County, TX HUD Metro FMR Area  Bremer County, IA HUD Metro FMR Area  Bremerton-Silverdale, WA MSA  Bridgeport, CT HUD Metro FMR Area  Brockton, MA HUD Metro FMR Area  Brown County, OH HUD Metro FMR Area  Brownsville-Harlingen, TX MSA  Brunswick County, NC HUD Metro FMR Area  Brunswick, GA MSA  Buffalo-Cheektowaga-Niagara Falls, NY MSA  Burlington, NC MSA  Burlington-South Burlington, VT MSA  Butler County, KY HUD Metro FMR Area  Butte County, ID HUD Metro FMR Area  Butts County, GA HUD Metro FMR Area  Caguas, PR HUD Metro FMR Area  California-Lexington Park, MD MSA  Callaway County, MO HUD Metro FMR Area  Camden County, NC HUD Metro FMR Area  Campbell County, TN HUD Metro FMR Area  Canton-Massillon, OH MSA  Cape Coral-Fort Myers, FL MSA  Cape Girardeau, MO-IL MSA  Carroll County, IN HUD Metro FMR Area  Carson City, NV MSA  Carter County, KY HUD Metro FMR Area  Casper, WY MSA  Cass County, MI HUD Metro FMR Area  Cedar Rapids, IA HUD Metro FMR Area  Chambersburg-Waynesboro, PA MSA  Champaign-Urbana, IL MSA  Charleston, WV HUD Metro FMR Area  Charleston-North Charleston, SC MSA  Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area  Charlottesville, VA MSA  Chattanooga, TN-GA MSA  Chester County, SC HUD Metro FMR Area  Cheyenne, WY MSA  Chicago-Joliet-Naperville, IL HUD Metro FMR Area  Chico, CA MSA  Chilton County, AL HUD Metro FMR Area  Cincinnati, OH-KY-IN  HUD Metro FMR Area  Clarendon County, SC HUD Metro FMR Area  Clarksville, TN-KY HUD Metro FMR Area  Cleveland, TN MSA  Cleveland-Elyria, OH MSA  Coeur d'Alene, ID MSA  Colchester-Lebanon, CT HUD Metro FMR Area  College Station-Bryan, TX MSA  Colorado Springs, CO HUD Metro FMR Area  Columbia County, PA HUD Metro FMR Area  Columbia County, WI HUD Metro FMR Area  Columbia, MO HUD Metro FMR Area  Columbia, SC HUD Metro FMR Area  Columbus, GA-AL HUD Metro FMR Area  Columbus, IN MSA  Columbus, OH HUD Metro FMR Area  Cooper County, MO HUD Metro FMR Area  Corpus Christi, TX MSA  Corvallis, OR MSA  Cotton County, OK HUD Metro FMR Area  Covington County, MS HUD Metro FMR Area  Craven County, NC HUD Metro FMR Area  Crestview-Fort Walton Beach-Destin, FL HUD Metro FMR Area  Crockett County, TN HUD Metro FMR Area  Culpeper County, VA HUD Metro FMR Area  Cumberland County, ME (part) HUD Metro FMR Area  Cumberland, MD-WV MSA  Dallas County, MO HUD Metro FMR Area  Dallas, TX HUD Metro FMR Area  Dalton, GA HUD Metro FMR Area  Danbury, CT HUD Metro FMR Area  Danville, IL MSA  Daphne-Fairhope-Foley, AL MSA  Darlington County, SC HUD Metro FMR Area  Davenport-Moline-Rock Island, IA-IL MSA  Davidson County, NC HUD Metro FMR Area  Dayton-Kettering, OH MSA  Decatur, AL MSA  Decatur, IL MSA  DeKalb County, IL HUD Metro FMR Area  Deltona-Daytona Beach-Ormond Beach, FL HUD Metro FMR Area  Denver-Aurora-Lakewood, CO MSA  Des Moines-West Des Moines, IA HUD Metro FMR Area  Detroit-Warren-Livonia, MI HUD Metro FMR Area  Dothan, AL HUD Metro FMR Area  Dover, DE MSA  Dubuque, IA MSA  Duluth, MN-WI HUD Metro FMR Area  Durham-Chapel Hill, NC HUD Metro FMR Area  East Stroudsburg, PA MSA  Eastern Worcester County, MA HUD Metro FMR Area  Easton-Raynham, MA HUD Metro FMR Area  Eau Claire, WI MSA  El Centro, CA MSA  El Paso, TX HUD Metro FMR Area  Elizabethtown, KY HUD Metro FMR Area  Elkhart-Goshen, IN MSA  Elmira, NY MSA  Enid, OK MSA  Erie, PA MSA  Eugene-Springfield, OR MSA  Evansville, IN-KY MSA  Fairbanks, AK MSA  Fajardo, PR HUD Metro FMR Area  Falls County, TX HUD Metro FMR Area  Fargo, ND-MN MSA  Farmington, NM MSA  Fayette County, WV HUD Metro FMR Area  Fayetteville, NC HUD Metro FMR Area  Fayetteville-Springdale-Rogers, AR MSA  Fillmore County, MN HUD Metro FMR Area  Fitchburg-Leominster, MA HUD Metro FMR Area  Flagstaff, AZ MSA  Flint, MI MSA  Florence, SC HUD Metro FMR Area  Florence-Muscle Shoals, AL MSA  Fond du Lac, WI MSA  Fort Collins, CO MSA  Fort Lauderdale, FL HUD Metro FMR Area  Fort Smith, AR-OK HUD Metro FMR Area  Fort Wayne, IN MSA  Fort Worth-Arlington, TX HUD Metro FMR Area  Franklin County, AR HUD Metro FMR Area  Franklin County, IN HUD Metro FMR Area  Franklin County, MA HUD Metro FMR Area  Franklin County, VA HUD Metro FMR Area  Fresno, CA MSA  Fulton County, IL HUD Metro FMR Area  Gadsden, AL MSA  Gainesville, FL HUD Metro FMR Area  Gainesville, GA MSA  Gary, IN HUD Metro FMR Area  Gates County, NC HUD Metro FMR Area  Geary County, KS HUD Metro FMR Area  Gem County, ID HUD Metro FMR Area  Gettysburg, PA MSA  Gibson County, TN HUD Metro FMR Area  Giles County, VA HUD Metro FMR Area  Glens Falls, NY MSA  Goldsboro, NC MSA  Grady County, OK HUD Metro FMR Area  Grainger County, TN HUD Metro FMR Area  Grand Forks, ND-MN MSA  Grand Junction, CO MSA  Grand Rapids-Wyoming, MI HUD Metro FMR Area  Grant County, AR HUD Metro FMR Area  Grant County, KY HUD Metro FMR Area  Grants Pass, OR MSA  Granville County, NC HUD Metro FMR Area  Great Falls, MT MSA  Greeley, CO MSA  Green Bay, WI HUD Metro FMR Area  Green County, WI HUD Metro FMR Area  Greene County, AL HUD Metro FMR Area  Greensboro-High Point, NC HUD Metro FMR Area  Greenville, NC MSA  Greenville-Mauldin-Easley, SC HUD Metro FMR Area  Grundy County, IL HUD Metro FMR Area  Guayama, PR MSA  Gulfport-Biloxi, MS HUD Metro FMR Area  Hagerstown, MD HUD Metro FMR Area  Hall County, NE HUD Metro FMR Area  Hammond, LA MSA  Hanford-Corcoran, CA MSA  Haralson County, GA HUD Metro FMR Area  Harnett County, NC HUD Metro FMR Area  Harrisburg-Carlisle, PA MSA  Harrison County, TX HUD Metro FMR Area  Harrisonburg, VA MSA  Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area  Hattiesburg, MS HUD Metro FMR Area  Haywood County, NC HUD Metro FMR Area  Henry County, AL HUD Metro FMR Area  Hickory-Lenoir-Morganton, NC MSA  Hillsborough County, NH (part) HUD Metro FMR Area  Hinesville, GA HUD Metro FMR Area  Hocking County, OH HUD Metro FMR Area  Hoke County, NC HUD Metro FMR Area  Holland-Grand Haven, MI HUD Metro FMR Area  Holmes County, MS HUD Metro FMR Area  Homosassa Springs, FL MSA  Hot Springs, AR MSA  Houma-Thibodaux, LA MSA  Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area  Howard County, MO HUD Metro FMR Area  Howard County, NE HUD Metro FMR Area  Hudspeth County, TX HUD Metro FMR Area  Huntington-Ashland, WV-KY-OH HUD Metro FMR Area  Huntsville, AL MSA  Iberia Parish, LA HUD Metro FMR Area  Iberville Parish, LA HUD Metro FMR Area  Idaho Falls, ID HUD Metro FMR Area  Indianapolis-Carmel, IN HUD Metro FMR Area  Ionia County, MI HUD Metro FMR Area  Iowa City, IA HUD Metro FMR Area  Iowa County, WI HUD Metro FMR Area  Iredell County, NC HUD Metro FMR Area  Ithaca, NY MSA  Jackson County, IL HUD Metro FMR Area  Jackson County, WV HUD Metro FMR Area  Jackson, MI MSA  Jackson, MS HUD Metro FMR Area  Jackson, TN HUD Metro FMR Area  Jacksonville, FL HUD Metro FMR Area  Jacksonville, NC MSA  Janesville-Beloit, WI MSA  Jasper County, IA HUD Metro FMR Area  Jasper County, IN HUD Metro FMR Area  Jasper County, SC HUD Metro FMR Area  Jefferson City, MO HUD Metro FMR Area  Jefferson County, WV HUD Metro FMR Area  Jerome County, ID HUD Metro FMR Area  Jersey City, NJ HUD Metro FMR Area  Johnson City, TN MSA  Johnson County, IL HUD Metro FMR Area  Johnstown, PA MSA  Jones County, IA HUD Metro FMR Area  Jones County, NC HUD Metro FMR Area  Jonesboro, AR HUD Metro FMR Area  Joplin, MO MSA  Kahului-Wailuku-Lahaina, HI MSA  Kalamazoo-Portage, MI MSA  Kankakee, IL MSA  Kansas City, MO-KS HUD Metro FMR Area  Kendall County, IL HUD Metro FMR Area  Kendall County, TX HUD Metro FMR Area  Kennewick-Richland, WA MSA  Kenosha County, WI HUD Metro FMR Area  Kershaw County, SC HUD Metro FMR Area  Killeen-Temple, TX HUD Metro FMR Area  King and Queen County, VA HUD Metro FMR Area  Kingsport-Bristol-Bristol, TN-VA MSA  Kingston, NY MSA  Knoxville, TN HUD Metro FMR Area  Kokomo, IN MSA  La Crosse-Onalaska, WI-MN MSA  Lafayette, LA HUD Metro FMR Area  Lafayette-West Lafayette, IN HUD Metro FMR Area  Lake Charles, LA MSA  Lake County, MN HUD Metro FMR Area  Lake Havasu City-Kingman, AZ MSA  Lakeland-Winter Haven, FL MSA  Lamar County, GA HUD Metro FMR Area  Lampasas County, TX HUD Metro FMR Area  Lancaster County, SC HUD Metro FMR Area  Lancaster, PA MSA  Lansing-East Lansing, MI HUD Metro FMR Area  Laredo, TX MSA  Las Cruces, NM MSA  Las Vegas-Henderson-Paradise, NV MSA  Laurens County, SC HUD Metro FMR Area  Lawrence, KS MSA  Lawrence, MA-NH HUD Metro FMR Area  Lawton, OK HUD Metro FMR Area  Le Sueur County, MN HUD Metro FMR Area  Lebanon, PA MSA  Levy County, FL HUD Metro FMR Area  Lewiston, ID-WA MSA  Lewiston-Auburn, ME MSA  Lexington-Fayette, KY MSA  Lima, OH MSA  Lincoln County, GA HUD Metro FMR Area  Lincoln County, NC HUD Metro FMR Area  Lincoln County, OK HUD Metro FMR Area  Lincoln County, WI HUD Metro FMR Area  Lincoln County, WV HUD Metro FMR Area  Lincoln, NE HUD Metro FMR Area  Little River County, AR HUD Metro FMR Area  Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area  Livingston County, MI HUD Metro FMR Area  Logan, UT-ID MSA  Long County, GA HUD Metro FMR Area  Longview, TX HUD Metro FMR Area  Longview, WA MSA  Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area  Louisville, KY-IN HUD Metro FMR Area  Lowell, MA HUD Metro FMR Area  Lubbock, TX HUD Metro FMR Area  Lynchburg, VA MSA  Lynn County, TX HUD Metro FMR Area  Macon County, TN HUD Metro FMR Area  Macon-Bibb County, GA HUD Metro FMR Area  Macoupin County, IL HUD Metro FMR Area  Madera, CA MSA  Madison County, VA HUD Metro FMR Area  Madison, WI HUD Metro FMR Area  Manchester, NH HUD Metro FMR Area  Manhattan, KS HUD Metro FMR Area  Mankato-North Mankato, MN MSA  Mansfield, OH MSA  Marshall County, MS HUD Metro FMR Area  Martin County, TX HUD Metro FMR Area  Martinsburg, WV HUD Metro FMR Area  Matanuska-Susitna Borough, AK HUD Metro FMR Area  Maury County, TN HUD Metro FMR Area  Mayagüez, PR MSA  McAllen-Edinburg-Mission, TX MSA  Meade County, KY HUD Metro FMR Area  Meade County, SD HUD Metro FMR Area  Medford, OR MSA  Medina County, TX HUD Metro FMR Area  Memphis, TN-MS-AR HUD Metro FMR Area  Merced, CA MSA  Meriwether County, GA HUD Metro FMR Area  Merrick County, NE HUD Metro FMR Area  Miami-Miami Beach-Kendall, FL HUD Metro FMR Area  Michigan City-La Porte, IN MSA  Middlesex-Somerset-Hunterdon, NJ HUD Metro FMR Area  Midland, MI MSA  Midland, TX HUD Metro FMR Area  Milford-Ansonia-Seymour, CT HUD Metro FMR Area  Mille Lacs County, MN HUD Metro FMR Area  Milwaukee-Waukesha-West Allis, WI MSA  Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area  Missoula, MT MSA  Mobile, AL HUD Metro FMR Area  Modesto, CA MSA  Moniteau County, MO HUD Metro FMR Area  Monmouth-Ocean, NJ HUD Metro FMR Area  Monroe County, GA HUD Metro FMR Area  Monroe, LA HUD Metro FMR Area  Monroe, MI MSA  Montcalm County, MI HUD Metro FMR Area  Montgomery, AL MSA  Montour County, PA HUD Metro FMR Area  Morehouse Parish, LA HUD Metro FMR Area  Morgan County, GA HUD Metro FMR Area  Morgan County, TN HUD Metro FMR Area  Morgan County, WV HUD Metro FMR Area  Morgantown, WV MSA  Morristown, TN HUD Metro FMR Area  Mount Vernon-Anacortes, WA MSA  Muncie, IN MSA  Murray County, GA HUD Metro FMR Area  Muskegon, MI MSA  Myrtle Beach-North Myrtle Beach-Conway, SC HUD Metro FMR Area  Napa, CA MSA  Naples-Immokalee-Marco Island, FL MSA  Nashua, NH HUD Metro FMR Area  Nashville-Davidson--Murfreesboro--Franklin, TN HUD Metro FMR Area  Nassau-Suffolk, NY HUD Metro FMR Area  New Bedford, MA HUD Metro FMR Area  New Haven-Meriden, CT HUD Metro FMR Area  New Orleans-Metairie, LA HUD Metro FMR Area  New York, NY HUD Metro FMR Area  Newark, NJ HUD Metro FMR Area  Newport-Middleton-Portsmouth, RI HUD Metro FMR Area  Niles-Benton Harbor, MI MSA  North Port-Sarasota-Bradenton, FL MSA  Norwich-New London, CT HUD Metro FMR Area  Oakland-Fremont, CA HUD Metro FMR Area  Ocala, FL MSA  Ocean City, NJ MSA  Oconto County, WI HUD Metro FMR Area  Odessa, TX MSA  Ogden-Clearfield, UT HUD Metro FMR Area  Oklahoma City, OK HUD Metro FMR Area  Okmulgee County, OK HUD Metro FMR Area  Oldham County, TX HUD Metro FMR Area  Olympia-Tumwater, WA MSA  Omaha-Council Bluffs, NE-IA HUD Metro FMR Area  Orlando-Kissimmee-Sanford, FL MSA  Oshkosh-Neenah, WI MSA  Ottawa County, OH HUD Metro FMR Area  Owen County, IN HUD Metro FMR Area  Owensboro, KY MSA  Oxnard-Thousand Oaks-Ventura, CA MSA  Palm Bay-Melbourne-Titusville, FL MSA  Palm Coast, FL HUD Metro FMR Area  Pamlico County, NC HUD Metro FMR Area  Panama City, FL MSA  Parke County, IN HUD Metro FMR Area  Parkersburg-Vienna, WV MSA  Pascagoula, MS HUD Metro FMR Area  Pawnee County, OK HUD Metro FMR Area  Peach County, GA HUD Metro FMR Area  Pender County, NC HUD Metro FMR Area  Penobscot County, ME (part) HUD Metro FMR Area  Pensacola-Ferry Pass-Brent, FL MSA  Peoria, IL HUD Metro FMR Area  Perry County, OH HUD Metro FMR Area  Person County, NC HUD Metro FMR Area  Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA  Phoenix-Mesa-Scottsdale, AZ MSA  Pickens County, AL HUD Metro FMR Area  Pike County, PA HUD Metro FMR Area  Pine Bluff, AR MSA  Pittsburgh, PA HUD Metro FMR Area  Pittsfield, MA HUD Metro FMR Area  Pocatello, ID HUD Metro FMR Area  Poinsett County, AR HUD Metro FMR Area  Polk County, MO HUD Metro FMR Area  Ponce, PR MSA  Port St. Lucie, FL MSA  Portland, ME HUD Metro FMR Area  Portland-Vancouver-Hillsboro, OR-WA MSA  Portsmouth-Rochester, NH HUD Metro FMR Area  Poughkeepsie-Newburgh-Middletown, NY MSA  Power County, ID HUD Metro FMR Area  Prescott Valley-Prescott, AZ MSA  Providence-Fall River, RI-MA HUD Metro FMR Area  Provo-Orem, UT MSA  Pueblo, CO MSA  Pulaski County, VA HUD Metro FMR Area  Punta Gorda, FL MSA  Putnam County, IN HUD Metro FMR Area  Putnam County, WV HUD Metro FMR Area  Racine, WI MSA  Raleigh County, WV HUD Metro FMR Area  Raleigh, NC MSA  Rapid City, SD HUD Metro FMR Area  Rappahannock County, VA HUD Metro FMR Area  Reading, PA MSA  Redding, CA MSA  Reno, NV MSA  Richmond, VA MSA  Riverside-San Bernardino-Ontario, CA MSA  Roane County, TN HUD Metro FMR Area  Roanoke, VA HUD Metro FMR Area  Rochester, MN HUD Metro FMR Area  Rochester, NY HUD Metro FMR Area  Rockford, IL MSA  Rockingham County, NC HUD Metro FMR Area  Rocky Mount, NC MSA  Rome, GA MSA  Rowan County, NC HUD Metro FMR Area  Rusk County, TX HUD Metro FMR Area  Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area  Sagadahoc County, ME HUD Metro FMR Area  Saginaw, MI MSA  Salem, OR MSA  Salinas, CA MSA  Salisbury, MD HUD Metro FMR Area  Salt Lake City, UT HUD Metro FMR Area  San Angelo, TX HUD Metro FMR Area  San Antonio-New Braunfels, TX HUD Metro FMR Area  San Benito County, CA HUD Metro FMR Area  San Diego-Carlsbad, CA MSA  San Francisco, CA HUD Metro FMR Area  San German, PR MSA  San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area  San Juan-Guaynabo, PR HUD Metro FMR Area  San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA  Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area  Santa Cruz-Watsonville, CA MSA  Santa Fe, NM MSA  Santa Maria-Santa Barbara, CA MSA  Santa Rosa, CA MSA  Saunders County, NE HUD Metro FMR Area  Savannah, GA MSA  Scranton--Wilkes-Barre, PA MSA  Seattle-Bellevue, WA HUD Metro FMR Area  Sebastian-Vero Beach, FL MSA  Sebring, FL MSA  Seward County, NE HUD Metro FMR Area  Sharon, PA HUD Metro FMR Area  Sheboygan, WI MSA  Shelby County, KY HUD Metro FMR Area  Sherman-Denison, TX MSA  Shiawassee County, MI HUD Metro FMR Area  Shreveport-Bossier City, LA MSA  Sierra Vista-Douglas, AZ MSA  Simpson County, MS HUD Metro FMR Area  Sioux City, IA-NE-SD MSA  Sioux Falls, SD MSA  Smith County, TN HUD Metro FMR Area  Somerset County, MD HUD Metro FMR Area  South Bend-Mishawaka, IN HUD Metro FMR Area  Southampton County-Franklin city, VA HUD Metro FMR Area  Southern Middlesex County, CT HUD Metro FMR Area  Spartanburg, SC MSA  Spokane, WA HUD Metro FMR Area  Springfield, IL MSA  Springfield, MA HUD Metro FMR Area  Springfield, MO HUD Metro FMR Area  Springfield, OH MSA  St. Cloud, MN MSA  St. George, UT MSA  St. James Parish, LA HUD Metro FMR Area  St. Joseph, MO-KS MSA  St. Louis, MO-IL HUD Metro FMR Area  Stamford-Norwalk, CT HUD Metro FMR Area  State College, PA MSA  Staunton-Waynesboro, VA MSA  Sterling County, TX HUD Metro FMR Area  Stevens County, WA HUD Metro FMR Area  Stewart County, GA HUD Metro FMR Area  Stewart County, TN HUD Metro FMR Area  Stillwater County, MT HUD Metro FMR Area  Stockton-Lodi, CA MSA  Stone County, MS HUD Metro FMR Area  Sullivan County, IN HUD Metro FMR Area  Sumner County, KS HUD Metro FMR Area  Sumter, SC HUD Metro FMR Area  Sussex County, DE HUD Metro FMR Area  Syracuse, NY MSA  Tacoma, WA HUD Metro FMR Area  Talbot County, GA HUD Metro FMR Area  Tallahassee, FL HUD Metro FMR Area  Tampa-St. Petersburg-Clearwater, FL MSA  Tate County, MS HUD Metro FMR Area  Taunton-Mansfield-Norton, MA HUD Metro FMR Area  Teller County, CO HUD Metro FMR Area  Terre Haute, IN HUD Metro FMR Area  Texarkana, TX-Texarkana, AR HUD Metro FMR Area  The Villages, FL MSA  Toledo, OH HUD Metro FMR Area  Tooele County, UT HUD Metro FMR Area  Topeka, KS MSA  Trenton, NJ MSA  Tucson, AZ MSA  Tulsa, OK HUD Metro FMR Area  Tunica County, MS HUD Metro FMR Area  Tuscaloosa, AL HUD Metro FMR Area  Twin Falls County, ID HUD Metro FMR Area  Tyler, TX MSA  Union County, IN HUD Metro FMR Area  Union County, OH HUD Metro FMR Area  Urban Honolulu, HI MSA  Utica-Rome, NY MSA  Valdosta, GA MSA  Vallejo-Fairfield, CA MSA  Vermilion Parish, LA HUD Metro FMR Area  Victoria, TX MSA  Vineland-Bridgeton, NJ MSA  Virginia Beach-Norfolk-Newport News, VA-NC HUD Metro FMR Area  Visalia-Porterville, CA MSA  Wabasha County, MN HUD Metro FMR Area  Waco, TX HUD Metro FMR Area  Wakulla County, FL HUD Metro FMR Area  Walla Walla, WA MSA  Walton County, FL HUD Metro FMR Area  Warner Robins, GA HUD Metro FMR Area  Warren County, IN HUD Metro FMR Area  Warren County, NJ HUD Metro FMR Area  Warren County, VA HUD Metro FMR Area  Washington County, AL HUD Metro FMR Area  Washington County, IA HUD Metro FMR Area  Washington County, IN HUD Metro FMR Area  Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area  Waterbury, CT HUD Metro FMR Area  Waterloo-Cedar Falls, IA HUD Metro FMR Area  Watertown-Fort Drum, NY MSA  Wausau, WI HUD Metro FMR Area  Weirton-Steubenville, WV-OH MSA  Wenatchee, WA MSA  West Palm Beach-Boca Raton, FL HUD Metro FMR Area  Westerly-Hopkinton-New Shoreham, RI HUD Metro FMR Area  Western Rockingham County, NH HUD Metro FMR Area  Western Worcester County, MA HUD Metro FMR Area  Wheeling, WV-OH MSA  Wichita Falls, TX MSA  Wichita, KS HUD Metro FMR Area  Williamson County, IL HUD Metro FMR Area  Williamsport, PA MSA  Wilmington, NC HUD Metro FMR Area  Winchester, VA-WV MSA  Windham County, CT HUD Metro FMR Area  Winston-Salem, NC HUD Metro FMR Area  Wise County, TX HUD Metro FMR Area  Worcester County, MD HUD Metro FMR Area  Worcester, MA HUD Metro FMR Area  Yakima, WA MSA  Yates County, NY HUD Metro FMR Area  Yauco, PR MSA  Yazoo County, MS HUD Metro FMR Area  Yolo, CA HUD Metro FMR Area  York County, ME (part) HUD Metro FMR Area  York-Hanover, PA MSA  York-Kittery-South Berwick, ME HUD Metro FMR Area  Youngstown-Warren-Boardman, OH HUD Metro FMR Area  Yuba City, CA MSA  Yuma, AZ MSA",,,,,,,,2025
HUD Home Page,,,,,,,,2025
HUD User Home,,,,,,,,2025
Data Sets,,,,,,,,2025
Fair Market Rents,,,,,,,,2025
Section 8 Income Limits,,,,,,,,2025
FMR/IL Summary System,,,,,,,,2025
Multifamily Tax Subsidy Project (MTSP) Income Limits,,,,,,,,2025
HUD LIHTC Database,,,,,,,,2025
Technical Problems or questions? Contact Us.,,,,,,,,2025
"Abilene, TX MSA","$1,010","$1,020","$1,276","$1,653","$1,987",40,,2025
"Amarillo, TX HUD Metro FMR Area",$778,$903,"$1,106","$1,503","$1,742",40,,2025
"Aransas County, TX HUD Metro FMR Area","$1,059","$1,072","$1,407","$1,910","$2,116",40,,2025
"Atascosa County, TX HUD Metro FMR Area",$831,"$1,002","$1,098","$1,435","$1,454",40,,2025
"Austin County, TX HUD Metro FMR Area",$885,$891,"$1,095","$1,523","$1,837",40,,2025
"Austin-Round Rock-San Marcos, TX MSA","$1,474","$1,562","$1,852","$2,347","$2,760",40,,2025
"Beaumont-Port Arthur, TX MSA",$892,$898,"$1,103","$1,446","$1,732",40,,2025
"Bosque County, TX HUD Metro FMR Area",$671,$742,$973,"$1,283","$1,288",40,,2025
"Brazoria County, TX HUD Metro FMR Area","$1,080","$1,240","$1,359","$1,839","$2,280",40,,2025
"Brownsville-Harlingen, TX MSA",$773,$866,"$1,047","$1,414","$1,479",40,,2025
"Cochran County, TX HUD Metro FMR Area",$681,$820,$973,"$1,170","$1,606",40,,2025
"College Station-Bryan, TX MSA","$1,025","$1,082","$1,186","$1,649","$1,928",40,,2025
"Corpus Christi, TX HUD Metro FMR Area","$1,031","$1,117","$1,366","$1,796","$2,054",40,,2025
"Dallas, TX HUD Metro FMR Area","$1,582","$1,648","$1,931","$2,431","$3,091",40,,2025
"Eagle Pass, TX MSA",$814,$888,$973,"$1,337","$1,499",40,,2025
"El Paso, TX HUD Metro FMR Area",$821,"$1,013","$1,191","$1,633","$1,998",40,,2025
"Falls County, TX HUD Metro FMR Area",$671,$742,$973,"$1,353","$1,632",40,,2025
"Fort Worth-Arlington, TX HUD Metro FMR Area","$1,427","$1,473","$1,723","$2,273","$2,815",40,,2025
"Garza County, TX HUD Metro FMR Area",$681,$820,$973,"$1,353","$1,569",40,,2025
"Harrison County, TX HUD Metro FMR Area",$869,$960,"$1,260","$1,511","$1,668",40,,2025
"Hockley County, TX HUD Metro FMR Area",$848,$854,$973,"$1,353","$1,632",40,,2025
"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area","$1,280","$1,323","$1,573","$2,116","$2,639",40,,2025
"Hudspeth County, TX HUD Metro FMR Area",$671,$828,$973,"$1,167","$1,632",40,,2025
"Kendall County, TX HUD Metro FMR Area","$1,301","$1,311","$1,650","$2,176","$2,185",40,,2025
"Killeen-Temple, TX HUD Metro FMR Area",$983,$990,"$1,233","$1,711","$2,068",40,,2025
"Lampasas County, TX HUD Metro FMR Area",$808,$813,"$1,067","$1,475","$1,790",40,,2025
"Laredo, TX MSA",$956,$962,"$1,161","$1,499","$1,551",40,,2025
"Longview, TX HUD Metro FMR Area","$1,007","$1,013","$1,199","$1,606","$1,694",40,,2025
"Lubbock, TX HUD Metro FMR Area",$818,$990,"$1,175","$1,634","$1,940",40,,2025
"Lynn County, TX HUD Metro FMR Area",$705,$767,"$1,007","$1,207","$1,465",40,,2025
"Martin County, TX HUD Metro FMR Area","$1,422","$1,441","$1,772","$2,215","$2,722",40,,2025
"McAllen-Edinburg-Mission, TX MSA",$842,$847,"$1,060","$1,376","$1,522",40,,2025
