Property Address,City,List Price,Specs,Decision,Strategy,Rationale
211 Blue Bird Ln,Mineola,"$148,990",3bd/2ba/1202sqft,PASS,Turnkey Rental,New construction; low CapEx but lower yield
1512 Crescent Dr,Tyler,"$149,000",4bd/2ba/2906sqft,PASS,Value Add,Massive square footage ($51/sqft); verify condition/layout
613 N Newsom St,Mineola,"$149,000",3bd/2ba/1407sqft,PASS,Rental,Fresh on market; standard rental
327 Fairview St,Rusk,"$149,000",3bd/2ba/1784sqft,PASS,Rental,Good size; hot tub is a liability/maintenance risk
325 W 4th St,Tyler,"$149,900",3bd/2ba/2058sqft,PASS,Foreclosure Rehab,Central Tyler location; good square footage for price
1221 Old Noonday Rd,Tyler,"$149,900",3bd/2ba/1170sqft,PASS,Rental,Large lot asset; standard Tyler rental
106 Parsons Pkwy,Athens,"$149,900",3bd/2ba/2004sqft,PASS,Rental,Good square footage; fenced yard asset
1812 W Main St,Henderson,"$149,900",3bd/2ba/1312sqft,PASS,Rental,Solid layout; standard Henderson rental
8439 Hyena Rd,Gilmer,"$149,900",3bd/2ba/1664sqft,PASS,Rural Rental,Water well/spring assets; rural appeal
233 Blue Bird Ln,Mineola,"$149,990",3bd/2ba/1202sqft,PASS,Turnkey Rental,New construction; price cut; low CapEx
726 Swancy St,Longview,"$149,999",3bd/2ba/1268sqft,PASS,Turnkey Rental,Fresh paint; move-in ready appeal
16053 Fm 848,Whitehouse,"$150,000",3bd/2ba/1440sqft,PASS (CONDITIONAL),BRRR / School Play,Whitehouse ISD; Hoarder house requires heavy trash-out
13618 Indian Dr,Tyler,Auction,4bd/3ba/2425sqft,PASS,Equity Play,Auction status; large home in Tyler
616 W Scott St,Gilmer,Auction,3bd/2ba/2652sqft,PASS,Equity Play,Auction status; massive square footage
